Text,Label
The,O
Town,O
of,O
Malta,O
Planning,O
Board,O
held,O
its,O
regular,O
meeting,O
on,O
Wednesday,O
",",O
May,O
"24,",O
2023,O
at,O
6:30,O
p.m.,O
at,O
the,O
Malta,O
Town,O
"Hall,",O
with,O
"Co-Chairperson,",O
John,O
Viola,O
presiding:,O
Present:,B-PRESENT
William,B-PRESENT
Smith,I-PRESENT
Dwight,B-PRESENT
Havens,I-PRESENT
Frank,B-PRESENT
Mazza,I-PRESENT
Jean,B-PRESENT
Loewenstein,I-PRESENT
John,B-PRESENT
Viola,I-PRESENT
Ronald,B-PRESENT
Bormann,I-PRESENT
Absent:,B-ABSENT
Leejun,B-ABSENT
Taylor,I-ABSENT
Kyle,B-ABSENT
Kordich,I-ABSENT
Stephen,B-ABSENT
Grandeau,I-ABSENT
Correspondence:,O
All,O
correspondence,O
is,O
on,O
file.,O
Co-Chairperson,O
Viola,O
read,O
the,O
following,O
agenda,O
into,O
the,O
minutes:,O
Project,O
#,O
Project,O
Name,O
Project,O
Type,O
23-04,B-PROJ
Cobble,O
Pond,O
Farms,O
(Concept),O
Site,O
Plan,O
Amendment,O
23-10,B-PROJ
Keystone,I-PROJ
Novelties,I-PROJ
Site,I-PROJ
Plan,I-PROJ
21-16Mountain,B-PROJ
View,I-PROJ
Meadows,I-PROJ
Estates,I-PROJ
(Major,I-PROJ
Subdivision),I-PROJ
Extension,I-PROJ
of,I-PROJ
Approval,I-PROJ
23-06,B-PROJ
10,I-PROJ
Hermes,I-PROJ
Road,I-PROJ
Site,I-PROJ
Plan,I-PROJ
Amendment,I-PROJ
23-09,B-PROJ
Charlie’s,I-PROJ
Stay,I-PROJ
and,I-PROJ
Play,I-PROJ
Site,I-PROJ
Plan,I-PROJ
23-09A,B-PROJ
Charlie’s,I-PROJ
Stay,I-PROJ
and,I-PROJ
Play,I-PROJ
Special,I-PROJ
Use,I-PROJ
Permit,I-PROJ
Chairperson,O
Viola,O
appointed,O
William,O
Smith,O
as,O
a,O
full,O
member.,O
"23-04,",B-PROJ
Cobble,I-PROJ
Pond,I-PROJ
Farms,I-PROJ
",",I-PROJ
Site,I-PROJ
Plan,I-PROJ
Amendment,I-PROJ
(Concept),I-PROJ
Lauren,O
"Simons,",O
VP,O
of,O
"GRJH,",O
Inc.,O
presented,O
for,O
Cobble,O
Pond,O
Farms.,O
Simons,O
stated,O
that,O
the,O
applicant,O
wanted,O
to,O
replace,O
the,O
existing,O
34’x100’,O
diesel,O
island,O
canopy,O
with,O
a,O
smaller,O
one,O
of,O
the,O
same,O
design,O
that,O
is,O
34’x24’,O
in,O
size.,O
Adrian,O
Cattell,O
commented,O
for,O
the,O
Planning,O
Department.,O
Cattell,O
noted,O
that,O
the,O
proposal,O
was,O
a,O
Site,O
Plan,O
"Amendment,",O
that,O
the,O
property,O
was,O
zoned,O
"C-5,",O
and,O
that,O
current,O
use,O
was,O
pre-existing,O
non-conforming.,O
Cattell,O
also,O
noted,O
that,O
Code,O
Enforcement,O
believed,O
the,O
use,O
was,O
acceptable,O
to,O
continue,O
as,O
such,O
with,O
the,O
proposed,O
renovations.,O
Cattell,O
noted,O
that,O
the,O
site,O
was,O
in,O
an,O
archeologically,O
sensitive,O
area,O
and,O
that,O
a,O
Letter,O
of,O
No,O
Impact,O
had,O
been,O
received,O
from,O
The,O
Office,O
of,O
"Parks,",O
"Recreation,",O
and,O
Historic,O
Preservation.,O
Cattell,O
informed,O
the,O
Board,O
that,O
truck,O
access,O
to,O
the,O
site,O
was,O
via,O
an,O
easement,O
over,O
the,O
neighboring,O
property,O
to,O
the,O
West.,O
Catte,O
ll,O
also,O
noted,O
that,O
the,O
Fire,O
Apparatus,O
Turning,O
Radii,O
information,O
and,O
the,O
Erosion,O
and,O
Sediment,O
Control,O
Plan,O
(E&SC),O
were,O
yet,O
to,O
be,O
reviewed,O
by,O
Engineering,O
and,O
that,O
an,O
owner,O
authorization,O
form,O
was,O
still,O
needed,O
regarding,O
the,O
neighboring,O
property,O
and,O
continued,O
use,O
of,O
the,O
easement,O
area.,O
Cattell,O
asked,O
Simons,O
if,O
the,O
fire,O
lane,O
would,O
be,O
painted,O
as,O
shown,O
on,O
the,O
plans.,O
Simons,O
said,O
yes.,O
Reuben,O
Hull,O
of,O
LaBella,O
Engineering,O
"commented,",O
he,O
confirmed,O
Cattell’s,O
comments,O
about,O
needing,O
to,O
review,O
the,O
Fire,O
Access,O
and,O
E&SC,O
Plan,O
as,O
well,O
as,O
noting,O
that,O
he,O
wanted,O
Code,O
Enforcement,O
to,O
confirm,O
that,O
the,O
proximity,O
of,O
buildings,O
to,O
fuel,O
storage,O
would,O
meet,O
building,O
and,O
fire,O
code.,O
Hull,O
also,O
asked,O
Simons,O
if,O
there,O
would,O
be,O
any,O
changes,O
to,O
the,O
current,O
fuel,O
storage,O
for,O
the,O
site,O
and,O
wanted,O
Simons,O
to,O
make,O
sure,O
that,O
the,O
applicant,O
look,O
into,O
any,O
possible,O
NYS,O
requirements,O
that,O
may,O
need,O
to,O
be,O
adhered,O
to,O
for,O
building,O
permits,O
with,O
regards,O
to,O
fuel,O
storage.,O
Simons,O
stated,O
that,O
there,O
would,O
be,O
no,O
changes,O
to,O
the,O
current,O
fuel,O
storage,O
and,O
that,O
the,O
applicant,O
would,O
make,O
sure,O
they,O
followed,O
all,O
requirements,O
that,O
needed,O
to,O
be,O
met.,O
BOARD,O
DISCUSSION,O
Loewenstein,O
asked,O
Cattell,O
if,O
correspondence,O
from,O
OPRHP,O
had,O
been,O
received.,O
Cattell,O
said,O
yes.,O
Loewenstein,O
also,O
asked,O
if,O
the,O
fire,O
lane,O
would,O
be,O
painted,O
on,O
the,O
site.,O
Simons,O
said,O
yes.,O
Mazza,O
asked,O
the,O
applicant,O
if,O
the,O
new,O
fuel,O
canopy,O
would,O
be,O
smaller,O
than,O
the,O
current,O
one.,O
Simons,O
said,O
"yes,",O
and,O
that,O
there,O
would,O
be,O
two,O
pumps,O
with,O
two,O
fueling,O
points,O
for,O
a,O
total,O
of,O
4,O
(four),O
fueling,O
points.,O
Viola,O
asked,O
Cattell,O
if,O
the,O
easement,O
documentation,O
had,O
been,O
received,O
by,O
Planning.,O
Cattell,O
said,O
that,O
they,O
were,O
on,O
file,O
and,O
appeared,O
to,O
be,O
accurate,O
according,O
to,O
their,O
description.,O
Simons,O
asked,O
the,O
Board,O
if,O
they,O
could,O
waive,O
the,O
owner,O
authorization,O
requirement,O
for,O
the,O
continued,O
use,O
of,O
the,O
access,O
easement.,O
Everhart,O
asked,O
if,O
the,O
applicant,O
would,O
be,O
willing,O
to,O
inform,O
the,O
neighboring,O
owner,O
in,O
writing,O
about,O
the,O
onsite,O
change.,O
Simons,O
said,O
yes.,O
Everhart,O
asked,O
Cattell,O
about,O
the,O
OPRHP,O
letter,O
and,O
what,O
effect,O
it,O
would,O
have,O
on,O
a,O
SEQRA,O
determination.,O
Cattell,O
stated,O
that,O
Planning,O
felt,O
the,O
project,O
would,O
be,O
consistent,O
with,O
the,O
Supplemental,O
Town-Wide,O
GEIS,O
and,O
Statement,O
of,O
Findings,O
since,O
OPRHP,O
stated,O
there,O
was,O
no,O
impact,O
onsite,O
and,O
that,O
disturbance,O
to,O
the,O
site,O
had,O
already,O
occurred,O
for,O
the,O
initial,O
fuel,O
canopy.,O
Loewenstei,O
n,O
asked,O
Cattell,O
if,O
SEQRA,O
could,O
be,O
acted,O
upon,O
with,O
the,O
OPR,O
HP,O
letter.,O
Cattell,O
said,O
yes.,O
Resoluti,O
on,O
#2023,O
–,O
12,O
SEQRA,O
MOTION,O
by,O
Jean,O
Loewenstein,O
SECONDED,O
b,O
y,O
Ronald,O
Bormann,O
to,O
resolve,O
that,O
the,O
Malt,O
a,O
Planning,O
Board,O
on,O
the,O
24th,O
day,O
of,O
"May,",O
2023,O
determines,O
that,O
Project,O
#23-,O
"04,",O
Cobble,O
Pond,O
"Farms,",O
Site,O
Plan,O
Amendment,O
is,O
consistent,O
with,O
the,O
Supplement,O
al,O
Town,O
Wide,O
GEI,O
S,O
and,O
Statement,O
of,O
Findings,O
and,O
therefore,O
no,O
further,O
SEQRA,O
review,O
is,O
required.,O
VOTE:,B-VOTE
Ronald,B-VOTE
Bormann,I-VOTE
-,I-VOTE
YES,I-VOTE
Frank,B-VOTE
Mazza,I-VOTE
–,I-VOTE
YES,I-VOTE
Dwight,B-VOTE
Havens,I-VOTE
–,I-VOTE
YES,I-VOTE
William,B-VOTE
Smith,I-VOTE
–,I-VOTE
YES,I-VOTE
Jean,B-VOTE
Loewenstein,I-VOTE
-,I-VOTE
YES,I-VOTE
John,B-VOTE
Viola,I-VOTE
-,I-VOTE
YES,I-VOTE
Motion,B-VOTE
CARRIED,I-VOTE
6-0,I-VOTE
Loewenstein,O
asked,O
Cattell,O
to,O
clarify,O
the,O
outstanding,O
Engineering,O
comments.,O
Cattell,O
stated,O
that,O
Planning,O
wanted,O
the,O
Fire,O
Apparatus,O
Turning,O
Radii,O
comment,O
to,O
be,O
addressed,O
and,O
for,O
the,O
E&SC,O
Plan,O
to,O
be,O
reviewed.,O
Hull,O
added,O
that,O
he,O
wanted,O
Code,O
Enforcement,O
to,O
ensure,O
that,O
all,O
fire,O
codes,O
were,O
adhered,O
to,O
in,O
the,O
construction,O
of,O
the,O
new,O
fueling,O
canopy.,O
Resolution,O
#2023,O
–,O
13,O
MOTION,O
by,O
Jean,O
Loewenstein,O
SECONDED,O
by,O
Frank,O
Mazza,O
to,O
resolve,O
that,O
the,O
Malta,O
Planning,O
Board,O
on,O
the,O
24th,O
day,O
of,O
"May,",O
approves,O
Project,O
"#23-04,",O
Cobble,O
Pond,O
"Farms,",O
Site,O
Plan,O
"Amendment,",O
with,O
the,O
following,O
conditions:,O
1,O
That,O
the,O
Erosion,O
&,O
Sediment,O
Control,O
plan,O
be,O
reviewed,O
and,O
approved,O
by,O
the,O
Town,O
Designated,O
Engineer.,O
2,O
That,O
the,O
applicant,O
provides,O
proof,O
of,O
notice,O
to,O
the,O
owner,O
of,O
neighboring,O
property,O
for,O
the,O
continued,O
use,O
of,O
the,O
easement.,O
3,O
That,O
the,O
Town,O
Designated,O
Engineer,O
review,O
and,O
approve,O
the,O
fire,O
truck,O
turning,O
plan.,O
4,O
That,O
the,O
applicant,O
conform,O
to,O
NYS,O
Building,O
and,O
Fire,O
"Code,",O
to,O
be,O
verified,O
by,O
Code,O
Enforcement.,O
VOTE:,B-VOTE
Ronald,B-VOTE
Bormann,I-VOTE
-,I-VOTE
YES,I-VOTE
Frank,B-VOTE
Mazza,I-VOTE
–,I-VOTE
YES,I-VOTE
Dwight,B-VOTE
Havens,I-VOTE
–,I-VOTE
YES,I-VOTE
William,B-VOTE
Smith,I-VOTE
–,I-VOTE
YES,I-VOTE
Jean,B-VOTE
Loewenstein,I-VOTE
-,I-VOTE
YES,I-VOTE
John,B-VOTE
Viola,I-VOTE
-,I-VOTE
YES,I-VOTE
Motion,B-VOTE
CARRIED,I-VOTE
6-0,I-VOTE
"23-10,",B-PROJ
Keystone,I-PROJ
"Novelties,",I-PROJ
Site,I-PROJ
Plan,I-PROJ
Ed,O
McMahon,O
presented,O
for,O
Keystone.,O
McMahon,O
stated,O
for,O
the,O
Board,O
that,O
all,O
materials,O
for,O
the,O
proposed,O
use,O
had,O
been,O
received,O
by,O
the,O
Planning,O
Department,O
and,O
that,O
he,O
was,O
before,O
the,O
Board,O
to,O
answer,O
any,O
questions,O
or,O
concerns.,O
Huizinga,O
presented,O
for,O
the,O
Planning,O
Department.,O
Huizinga,O
noted,O
that,O
other,O
Firework,O
Tent,O
Site,O
Plans,O
had,O
been,O
received,O
by,O
Planning,O
in,O
the,O
past,O
and,O
that,O
the,O
Keystone,O
submission,O
was,O
similar,O
to,O
those.,O
Huizinga,O
noted,O
that,O
the,O
proposed,O
site,O
is,O
located,O
at,O
2370,O
US,O
Route,O
"9,",O
adjacent,O
Taddeo,O
"Drive,",O
and,O
that,O
the,O
site,O
would,O
be,O
active,O
for,O
10,O
"days,",O
June,O
22,O
to,O
July,O
5,O
The,O
site,O
will,O
operate,O
in,O
accordance,O
to,O
NYS,O
"Law,",O
town,O
code,O
and,O
NYS,O
fire,O
code.,O
Huizinga,O
also,O
noted,O
that,O
fireworks,O
sales,O
were,O
not,O
a,O
listed,O
use,O
in,O
the,O
Town,O
Code,O
;,O
however,O
were,O
allowed,O
in,O
2014,O
b,O
y,O
"NYS,",O
and,O
that,O
Malt,O
a,O
had,O
opted,O
in,O
to,O
allowing,O
fireworks,O
s,O
ales,O
in,O
town,O
with,O
all,O
sites,O
requiring,O
Site,O
P,O
lan,O
approv,O
al,O
by,O
the,O
Plannin,O
g,O
Board.,O
Huizing,O
a,O
asked,O
the,O
applicant,O
to,O
consult,O
with,O
Code,O
Enforcement,O
regarding,O
required,O
permits,O
for,O
the,O
te,O
"nt,",O
storage,O
container,O
and,O
signage.,O
McMah,O
on,O
stated,O
th,O
at,O
he,O
would,O
check,O
with,O
Code,O
Enforcement,O
and,O
that,O
there,O
would,O
be,O
significant,O
signage,O
for,O
parking,O
t,O
o,O
ensure,O
safety.,O
Engineering,O
had,O
no,O
comments.,O
BOARD,O
DISCUSSION,O
Loewenstei,O
n,O
asked,O
McMah,O
on,O
to,O
detail,O
the,O
parking,O
for,O
the,O
site.,O
McMah,O
on,O
stated,O
that,O
as,O
custom,O
ers,O
entered,O
the,O
sit,O
"e,",O
there,O
would,O
be,O
parking,O
to,O
the,O
"left,",O
next,O
to,O
the,O
tent,O
and,O
adjacent,O
to,O
the,O
existing,O
"building,",O
with,O
a,O
tot,O
al,O
of,O
10,O
parking,O
spaces.,O
Borman,O
n,O
asked,O
McMah,O
on,O
what,O
kind,O
of,O
lighting,O
would,O
be,O
used,O
onsite.,O
McMah,O
on,O
stated,O
there,O
would,O
lighting,O
onsite,O
powe,O
red,O
by,O
a,O
generator.,O
Mazz,O
a,O
asked,O
if,O
there,O
would,O
be,O
NO,O
PARKING,O
signs,O
on,O
Route,O
9,O
McMah,O
on,O
said,O
yes.,O
Resoluti,O
on,O
#2023,O
–,O
14,O
SEQRA,O
MOTION,O
b,O
y,O
Jean,O
Loewenstein,O
SECONDED,O
b,O
y,O
Frank,O
Mazza,O
to,O
resolve,O
that,O
the,O
Malt,O
a,O
Plannin,O
g,O
Board,O
on,O
the,O
24th,O
day,O
of,O
"May,",O
2023,O
determines,O
that,O
Project,O
"#23-10,",O
Keystone,O
"Novelties,",O
Site,O
Plan,O
is,O
consistent,O
with,O
the,O
Supplement,O
al,O
Tow,O
n,O
Wide,O
GEI,O
S,O
and,O
Statement,O
of,O
Findings,O
and,O
therefore,O
no,O
further,O
SEQRA,O
review,O
is,O
required.,O
VOTE:,B-VOTE
