Text,Label
The,O
Town,O
of,O
Malta,O
Planning,O
Board,O
held,O
its,O
regular,O
meeting,O
on,O
Wednes,O
day,O
May,O
29,O
",",O
2024,O
at,O
6:30,O
p.m.,O
at,O
the,O
Malta,O
Town,O
"Hall,",O
with,O
Co,O
"-Chairperson,",O
Jean,O
Loewenstein,O
presiding:,O
Present:,B-PRESENT
Dwight,B-PRESENT
Havens,I-PRESENT
William,B-PRESENT
Smith,I-PRESENT
Ronald,B-PRESENT
Bormann,I-PRESENT
Stephen,B-PRESENT
Grandeau,I-PRESENT
Jean,B-PRESENT
Loewenstein,I-PRESENT
Frank,B-PRESENT
Mazza,I-PRESENT
Kyle,B-PRESENT
Kordich,I-PRESENT
(LATE),O
Absent:,B-ABSENT
John,B-ABSENT
Viola,I-ABSENT
Leejun,B-ABSENT
Taylor,I-ABSENT
Correspondence:,O
All,O
correspondence,O
is,O
on,O
file.,O
Chairperson,O
Loewenstein,O
read,O
the,O
following,O
agenda,O
into,O
the,O
minutes:,O
Project,O
#,O
Project,O
Name,O
Project,O
Type,O
23-17,B-PROJ
Rainville,I-PROJ
(Extension,I-PROJ
of,I-PROJ
Approval),I-PROJ
Minor,I-PROJ
Subdivision,I-PROJ
21-18,B-PROJ
4,I-PROJ
Old,I-PROJ
Stonebreak,I-PROJ
Warehouse,I-PROJ
Site,I-PROJ
Plan,I-PROJ
24-11,B-PROJ
Windstone,I-PROJ
Farm,I-PROJ
-386,I-PROJ
Brownell,I-PROJ
Road),I-PROJ
Special,I-PROJ
Use,I-PROJ
Permit,I-PROJ
Chairperson,O
Loewenstein,O
elevated,O
William,O
Smith,O
to,O
a,O
full,O
voting,O
member.,O
"23-17,",B-PROJ
Rainville,I-PROJ
(Extension,I-PROJ
of,I-PROJ
"Approval),",I-PROJ
Minor,I-PROJ
Subdivision,I-PROJ
Maria,O
Rainville,O
presented.,O
Rainville,O
noted,O
that,O
her,O
delays,O
were,O
related,O
to,O
water,O
and,O
sewer.,O
Floria,O
Huizinga,O
spoke,O
for,O
the,O
Planning,O
Department,O
and,O
noted,O
that,O
the,O
Planning,O
Board,O
could,O
grant,O
an,O
unlimited,O
number,O
of,O
90,O
-day,O
extensions,O
.,O
Huizinga,O
added,O
that,O
the,O
current,O
expiration,O
of,O
July,O
"18,",O
2024,O
would,O
be,O
extended,O
to,O
October,O
"21,",O
2024,O
if,O
the,O
Board,O
agreed,O
to,O
grant,O
an,O
additional,O
extension.,O
Huizinga,O
also,O
noted,O
that,O
the,O
only,O
barriers,O
to,O
the,O
project,O
moving,O
forward,O
were,O
related,O
to,O
“will,O
serve”,O
letters,O
being,O
received,O
for,O
water,O
and,O
sewer.,O
BOARD,O
DISCUSSION,O
Grandeau,O
asked,O
if,O
Rainville,O
had,O
met,O
all,O
conditions,O
that,O
were,O
required,O
at,O
the,O
previous,O
meeting.,O
Huizinga,O
confirmed,O
that,O
all,O
the,O
requested,O
conditions,O
had,O
been,O
met,O
other,O
than,O
“will,O
serve”,O
letters,O
for,O
water,O
for,O
both,O
properties,O
and,O
sewer,O
for,O
the,O
front,O
property.,O
Resolution,O
#2024,O
–,O
14,O
MOTION,O
by,O
Stephen,O
Grandeau,O
SECONDED,O
by,O
Frank,O
Mazza,O
to,O
resolve,O
that,O
the,O
Malta,O
Planning,O
Board,O
on,O
the,O
25th,O
day,O
of,O
June,O
",",O
2024,O
approves,O
a,O
90,O
-day,O
Extension,O
of,O
Approval,O
for,O
Project,O
#2,O
3-17,O
"Rainville,",O
Minor,O
Subdivision,O
extending,O
the,O
expiration,O
date,O
of,O
July,O
23,O
",",O
2024,O
to,O
October,O
21,O
",",O
2024,O
VOTE:,B-VOTE
Stephen,B-VOTE
Grandeau,I-VOTE
–,I-VOTE
YES;,I-VOTE
Ronald,B-VOTE
Bormann,I-VOTE
–,I-VOTE
YES;,I-VOTE
Frank,B-VOTE
Mazza,I-VOTE
–,I-VOTE
YES;,I-VOTE
Dwight,B-VOTE
Havens,I-VOTE
–,I-VOTE
YES;,I-VOTE
William,B-VOTE
Smith,I-VOTE
–,I-VOTE
YES;,I-VOTE
Jean,B-VOTE
Loewenstein,I-VOTE
–,I-VOTE
YES,I-VOTE
Motion,B-VOTE
CARRIED,I-VOTE
6-0,I-VOTE
"21-18,",B-PROJ
4,I-PROJ
Old,I-PROJ
Stonebreak,I-PROJ
Road,I-PROJ
Warehouse,I-PROJ
",",I-PROJ
Site,I-PROJ
Plan,I-PROJ
Dave,O
Kimmer,O
of,O
ABD,O
Engineers,O
presented,O
for,O
the,O
applicant.,O
Kimmer,O
noted,O
that,O
the,O
proposed,O
building,O
would,O
be,O
a,O
"20,700",O
SF,O
warehouse.,O
Kimmer,O
also,O
noted,O
that,O
the,O
project,O
had,O
been,O
b,O
efore,O
the,O
Planning,O
Board,O
several,O
times,O
in,O
the,O
past,O
and,O
that,O
the,O
o,O
nly,O
change,O
since,O
the,O
last,O
presentation,O
was,O
the,O
removal,O
of,O
a,O
loading,O
bay,O
on,O
the,O
West,O
side,O
of,O
the,O
building.,O
Kimmer,O
stated,O
that,O
the,O
remaining,O
t,O
wo,O
bays,O
were,O
along,O
the,O
East,O
side,O
of,O
the,O
building,O
where,O
truck,O
traffic,O
would,O
be,O
conveyed.,O
Kimmer,O
stated,O
that,O
he,O
was,O
i,O
nterested,O
in,O
condition,O
al,O
approval,O
and,O
was,O
willing,O
to,O
answer,O
questions,O
from,O
the,O
Board.,O
see,O
tape…,O
Huizinga,O
noted,O
that,O
the,O
presentation,O
was,O
last,O
before,O
the,O
Board,O
in,O
April,O
"2022,",O
that,O
the,O
project,O
site,O
was,O
in,O
PDD,O
#9,O
on,O
Old,O
Stonebreak,O
Road.,O
Huizing,O
a,O
added,O
that,O
the,O
project,O
site,O
was,O
the,O
last,O
lot,O
to,O
be,O
developed,O
on,O
Old,O
Stonebreak,O
Road,O
",",O
next,O
to,O
S,O
aratoga,O
Water,O
Services,O
and,O
behind,O
11,O
Stonebreak,O
Road.,O
Huizinga,O
also,O
added,O
that,O
the,O
project,O
was,O
consistent,O
with,O
Supplemental,O
Town,O
-Wide,O
GEIS,O
and,O
did,O
not,O
require,O
further,O
review.,O
Huizinga,O
noted,O
that,O
PDD,O
#9,O
did,O
not,O
have,O
bulk,O
setback,O
or,O
lot,O
size,O
requirements,O
and,O
that,O
what,O
the,O
applicant,O
was,O
proposing,O
would,O
be,O
the,O
setbacks,O
for,O
the,O
property.,O
Huizinga,O
noted,O
that,O
the,O
property,O
was,O
technically,O
a,O
corner,O
lot,O
because,O
it,O
is,O
located,O
on,O
a,O
curve,O
and,O
therefore,O
ha,O
s,O
no,O
rear,O
setback,O
.,O
Huizinga,O
detailed,O
the,O
setbacks,O
for,O
the,O
property,O
as,O
19,O
feet,O
minimum,O
and,O
69,O
feet,O
maximum,O
for,O
the,O
West,O
",",O
19,O
feet,O
min.,O
and,O
35,O
feet,O
max.,O
for,O
the,O
"North,",O
and,O
8,O
feet,O
min.,O
and,O
10,O
max,O
for,O
the,O
South.,O
Huizinga,O
noted,O
that,O
the,O
building,O
would,O
be,O
gray,O
with,O
blue,O
"trim,",O
and,O
requested,O
that,O
the,O
applicant,O
consider,O
changing,O
some,O
of,O
the,O
façade,O
of,O
the,O
building,O
in,O
order,O
to,O
ma,O
ke,O
it,O
fit,O
in,O
better,O
with,O
the,O
character,O
of,O
the,O
neighborhood.,O
Huizinga,O
also,O
requested,O
that,O
the,O
landscaping,O
around,O
the,O
building,O
should,O
be,O
more,O
robust,O
.,O
Huizinga,O
added,O
that,O
she,O
needed,O
a,O
photometric,O
plan,O
and,O
cut,O
sheets,O
for,O
lighting.,O
Huizinga,O
also,O
added,O
that,O
the,O
Board,O
could,O
consider,O
project,O
approval,O
but,O
that,O
there,O
were,O
still,O
concerns,O
that,O
needed,O
to,O
be,O
addressed,O
including,O
engineering,O
"comments,",O
the,O
requested,O
lighting,O
plans,O
and,O
the,O
requested,O
façade,O
change,O
s.,O
Kyle,O
Kordich,O
arrived,O
at,O
6:40,O
PM.,O
Reuben,O
Hull,O
of,O
LaBella,O
A,O
ssociates,O
noted,O
that,O
his,O
comments,O
were,O
limited,O
to,O
Highway,O
and,O
Fire,O
department,O
review,O
.,O
Hull,O
noted,O
that,O
the,O
length,O
of,O
the,O
fire,O
access,O
and,O
sprinkler,O
systems,O
needed,O
to,O
be,O
reviewed,O
by,O
the,O
Fire,O
department,O
prior,O
to,O
sign,O
"off,",O
and,O
that,O
he,O
wanted,O
to,O
see,O
more,O
pavemen,O
t,O
at,O
the,O
access,O
onto,O
Stonebreak,O
Road,O
to,O
prevent,O
trucks,O
from,O
going,O
onto,O
the,O
gravel,O
shoulder,O
of,O
the,O
driveway,O
pavement,O
and,O
rutting,O
up,O
the,O
gravel,O
shoulder,O
up,O
as,O
time,O
went,O
on.,O
Hull,O
also,O
noted,O
that,O
the,O
project,O
onsite,O
stormwater,O
management,O
design,O
does,O
not,O
require,O
a,O
SPDES,O
permit,O
from,O
DEC.,O
Hull,O
did,O
not,O
take,O
exception,O
to,O
the,O
applicant’s,O
methodology,O
and,O
design,O
of,O
the,O
proposed,O
stormwater,O
management,O
since,O
all,O
discharges,O
would,O
be,O
onsite.,O
Hull,O
advised,O
the,O
applicant,O
that,O
long,O
term,O
maintain,O
of,O
the,O
stormwater,O
management,O
areas,O
would,O
still,O
need,O
to,O
be,O
maintained,O
as,O
if,O
the,O
project,O
obtained,O
a,O
SPDES,O
permit,O
for,O
over,O
an,O
acre,O
of,O
disturbance.,O
Hull,O
added,O
that,O
he,O
wanted,O
to,O
make,O
sure,O
that,O
there,O
was,O
a,O
mechanism,O
in,O
place,O
to,O
make,O
sure,O
the,O
applicant,O
maintained,O
the,O
st,O
ormwater,O
facilities,O
like,O
they,O
would,O
be,O
if,O
they,O
required,O
a,O
SPDES,O
permit.,O
Huizinga,O
noted,O
that,O
the,O
applicant,O
would,O
need,O
a,O
soil,O
disturbance,O
permit,O
from,O
the,O
Town,O
and,O
file,O
a,O
stormwater,O
maintenance,O
agreement.,O
BOARD,O
DISCUSSION,O
Grandeau,O
asked,O
Kimmer,O
if,O
the,O
appli,O
cant,O
was,O
willing,O
to,O
make,O
the,O
façade,O
more,O
aesthetic,O
with,O
a,O
brick,O
design,O
and,O
more,O
landscaping,O
to,O
make,O
it,O
have,O
more,O
continuity,O
with,O
other,O
buildings,O
nearby.,O
Bormann,O
wanted,O
to,O
see,O
an,O
updated,O
rendering,O
with,O
the,O
brick,O
façade.,O
Mazza,O
also,O
wanted,O
to,O
see,O
a,O
façade,O
similar,O
to,O
others,O
in,O
the,O
neighborhood,O
on,O
the,O
building,O
prior,O
to,O
approval.,O
Kimmer,O
stated,O
that,O
the,O
applicant,O
most,O
likely,O
would,O
be,O
amenable,O
to,O
those,O
requests.,O
Smith,O
wanted,O
the,O
applicant,O
to,O
make,O
sure,O
the,O
truck,O
-turning,O
radius,O
would,O
be,O
completely,O
on,O
asph,O
alt,O
and,O
not,O
gravel.,O
Kordich,O
echoed,O
the,O
rest,O
of,O
the,O
Board’s,O
comments.,O
Loewenstein,O
asked,O
if,O
the,O
warehouse,O
would,O
meet,O
building,O
height,O
and,O
greenspace,O
requirements,O
for,O
the,O
PDD.,O
Huizinga,O
stated,O
that,O
the,O
updated,O
rendering,O
indicates,O
the,O
building,O
met,O
the,O
zoning,O
height,O
requirements,O
of,O
maximum,O
30,O
feet,O
and,O
that,O
the,O
Luther,O
Forest,O
PDD,O
#9,O
did,O
not,O
have,O
greenspace,O
requirements,O
but,O
that,O
the,O
proposal,O
was,O
consistent,O
with,O
other,O
buildings,O
in,O
the,O
neighborhood.,O
Kimmer,O
noted,O
that,O
the,O
proposed,O
greenspace,O
percentage,O
of,O
the,O
site,O
was,O
approximately,O
28%,O
Hull,O
clarified,O
his,O
earlier,O
statement,O
about,O
truck,O
-turning,O
radii,O
and,O
stated,O
that,O
he,O
felt,O
that,O
a,O
semi,O
-truck,O
(tractor,O
-,O
trailer),O
would,O
have,O
challenges,O
maneuvering,O
the,O
site,O
without,O
making,O
the,O
paved,O
area,O
larger,O
given,O
different,O
sized,O
tr,O
ucks,O
and,O
drivers,O
accessing,O
the,O
site,O
at,O
different,O
angles,O
.,O
Hull,O
was,O
concerned,O
that,O
trucks,O
would,O
potentially,O
drive,O
in,O
the,O
gravel,O
area,O
and,O
rut,O
the,O
area,O
up,O
due,O
to,O
the,O
weight,O
of,O
the,O
trucks.,O
Loewenstein,O
asked,O
Hull,O
about,O
a,O
previous,O
concern,O
about,O
the,O
Northwest,O
acc,O
ess,O
and,O
sight,O
distances.,O
Hull,O
noted,O
that,O
the,O
concern,O
was,O
eliminated,O
with,O
the,O
removal,O
of,O
the,O
loading,O
bay,O
on,O
the,O
Western,O
side,O
of,O
the,O
proposed,O
warehouse.,O
Loewenstein,O
noted,O
that,O
she,O
felt,O
the,O
applicant,O
should,O
address,O
the,O
comments,O
made,O
by,O
"Planning,",O
Engineering,O
and,O
the,O
Board,O
before,O
moving,O
forward,O
to,O
approval,O
with,O
the,O
project.,O
Loewenstein,O
asked,O
the,O
Board,O
how,O
they,O
felt,O
regarding,O
approval.,O
The,O
Board,O
agreed,O
that,O
the,O
applicant,O
should,O
make,O
the,O
requested,O
changed,O
and,O
come,O
back,O
at,O
a,O
later,O
date.,O
Everhart,O
asked,O
the,O
Board,O
if,O
they,O
had,O
any,O
other,O
requests,O
for,O
the,O
applicant,O
prior,O
to,O
moving,O
forward,O
with,O
project,O
approval.,O
Loewenstein,O
asked,O
Kimmer,O
to,O
clarify,O
if,O
a,O
photometric,O
plan,O
had,O
been,O
submitted,O
to,O
Planning.,O
Kimmer,O
noted,O
that,O
one,O
had,O
yet,O
to,O
be,O
submitted.,O
Project,B-VOTE
approv,I-VOTE
al,I-VOTE
was,I-VOTE
postponed,I-VOTE
until,I-VOTE
a,I-VOTE
later,I-VOTE
date.,I-VOTE
"24-11,",B-PROJ
Windstone,I-PROJ
Farm,I-PROJ
-386,I-PROJ
Brownell,I-PROJ
"Road,",I-PROJ
Special,I-PROJ
Use,I-PROJ
Permit,I-PROJ
Public,O
Hearing,O
Stephanie,O
Farradino,O
presented,O
on,O
behalf,O
of,O
the,O
applicant.,O
Farradino,O
noted,O
that,O
the,O
p,O
roperty,O
was,O
purchased,O
several,O
years,O
ago,O
",",O
that,O
it,O
is,O
zoned,O
"R5,",O
is,O
approximately,O
10.5,O
"acres,",O
cu,O
rrently,O
zoned,O
single,O
family,O
.,O
Farradino,O
stated,O
that,O
the,O
goal,O
of,O
the,O
project,O
is,O
to,O
make,O
a,O
family,O
compound,O
for,O
the,O
applicant’s,O
family,O
and,O
parents.,O
Farradino,O
stated,O
that,O
the,O
e,O
xisting,O
structures,O
would,O
be,O
